,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total #= 94,Donor,Acceptor,ratio,Voc (V),Jsc (mA.cm²) or (µA.cm²),FF (%),PCE (%),Solvent,Surface aera (cm2),Donor_HOMO(ev) ,Donor_LUMO(ev),Donor_bandgap(ev),Acceptor_HOMO(ev),Acceptor_LUMO(ev),Acceptor_bandgap(ev),EffectiveEg(eV),Concentration (mg/ml),,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PBz-ET,Y6,"1  1,2",0.87,21.58,60,11.3,"CF + 0,5 % CN",0.05,5.58,3.68,1.9,5.65,4.02,1.63,1.56,12,,,,,,,,,,,,,,,,,,,
1000 lux,PBz-ET,Y6,"1  1,2",0.71,98.9,69,15.8,"CF + 0,5 % CN",0.05,5.58,3.68,1.9,5.65,4.02,1.63,1.56,12,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PBDB-TS-4Cl,IT-4F,"1  0,8",0.85,21.28,70.2,12.7,CB + 1% DIO,0.044,5.61,3.79,1.82,5.66,4.14,1.52,1.47,8,,,,,,,,,,,,,,,,,,,
1000 lux,PBDB-TS-4Cl,IT-4F,"1  0,8",0.66,129.3,74.3,20.7,CB + 1% DIO,0.044,5.61,3.79,1.82,5.66,4.14,1.52,1.47,8,,,,,,,,,,,,,,,,,,, 
"AM 1,5G ",PM6,PYFO-T,"1  1,2",0.981,18.8,63,11.6,CF + 1 % CN,-,5.45,3.65,1.8,5.69,3.69,2,1.76,7,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,PYFO-T,"1  1,2",0.865,106.9,68.9,20,CF + 1 % CN,-,5.45,3.65,1.8,5.69,3.69,2,1.76,7,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PM6,PYFO-V,"1  1,2",0.97,22.8,71.1,15.7,CF + 1 % CN,-,5.45,3.65,1.8,5.71,3.73,1.98,1.72,7,,,,,,,,,,,,,,,,,,,
1000 lux,PM6,PYFO-V,"1  1,2",0.829,131.9,75.4,25.9,CF + 1 % CN,-,5.45,3.65,1.8,5.71,3.73,1.98,1.72,7,,,,,,,,,,,,,,,,,,,
"AM 1,5G ",PBDB-DMO-4Cl,Y6,"1  1,2",0.892,28.7,56.4,14.4,"CF + 0,5 % CN",0.1,5.39,3.58,1.81,5.66,4.25,1.41,1.14,16,,,,,,,,,,,,,,,,,,,
1000 lux,PBDB-DMO-4Cl,Y6,"1  1,2",0.696,190,74.4,30.1,"CF + 0,5 % CN",0.1,5.39,3.58,1.81,5.66,4.25,1.41,1.14,16,,,,,,,,,,,,,,,,,,,
